name,price,description,image,image2,image3
Chloe,250,"Натуральная кожа. Комплект: коробка, пыльник, документы",https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/10_01.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/10_02.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/10_06.PNG
BOTTEGA VENETA,230,"Натуральная кожа. Комплект: коробка, пыльник, документы",https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/11_01.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/11_02.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/11_03.PNG
FURLA,250,"Натуральная кожа. Комплект: коробка, пыльник, документы",https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/12_01.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/12_02.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/12_05.PNG
PINKO,180,Качество Люкс. Комплект: коробка,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/13_03.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/13_06.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/13_05.PNG
GIVENCHY,160,Люкс качество. Комплект: коробка. Размер : 20*8*13 cм,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/14_04.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/14_03.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/14_02.PNG
BALMAIN,170,Люкс качество. Размер: 32*10*26 см,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/15_01.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/15_02.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/15_04.PNG
IVE SAINT LAUREN,170,Качество люкс. Размер: 20*20 см,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/16_01.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/16_03.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/16_06.PNG
Dior,130,"Комплект: коробка, пыльник. Размер 24*9*18 см",https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/17_08.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/17_05.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/17_07.PNG
LANVIN,185,"Эко Люкс. Комплект: коробка, пыльник. Размер 26*10 см",https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/18_02.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/18_04.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/18_05.PNG
PINKO,135,"Эко кожа люкс. Комплект: коробка, пыльник. Размер: 22*8*15 см",https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/19_01.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/19_02.PNG,https://nktdrqvbkkxvvkblfvma.supabase.co/storage/v1/object/public/products/19_03.PNG
